Name,Min_CPU_Cores,Recom_CPU_Cores,Min_CPU_TDP,Recom_CPU_TDP,Min_GPU_Memory(MB),Recom_GPU_Memory(MB),Min_GPU_Memory_Clock(MHz),Recom_GPU_Memory_Clock(MHz),Min_RAM,Min_Ram(GB),Recom_RAM,Recom_RAM(GB),Min_OS,Recom_OS,Min_Storage,Min_Storage(GB),Recom_Storage,Recom_Storage(GB),Release_Date
Call of Duty: WWII,3,5,60,95,2048,7168,1351,2001,8 GB,8 ,12 GB,12 ,Windows 7 64-bit,Windows 10 64-bit,90 GB,90 ,90 GB,90 ,2017-11-03
Hollow Knight,2,3,65,99,512,1024,1046.5,1000.5,4 GB,4 ,8 GB,8 ,Windows 7 32-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2017-02-24
Those Who Remain,3,5,65,80,960,1792,1074.5,962,4 GB,4 ,8 GB,8 ,Windows Vista 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-05-28
Element TD 2 - Multiplayer Tower Defense,2,3,65,90,768,1536,450,1225,6 GB,6 ,8 GB,8 ,Windows 8 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2021-04-02
Lucen,4,4,50,65,3072,4608,1501.5,1751,8 GB,8 ,8 GB,8 ,Windows 10 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2021-01-01
AeternoBlade II: Directors Rewind,5,4,89.5,65,2048,7168,1275,2001,8 GB,8 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-09-08
Panzer Corps 2,3,3,84,89.5,2048,6144,1487.5,1876.5,8 GB,8 ,8 GB,8 ,Windows 8 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-03-19
Dead Or Alive 5 Last Round,5,6,110,110,1024,1792,450,1087,2 GB,2 ,6 GB,6 ,Windows Vista 32-bit,Windows 7 64-bit,9 GB,9 ,10 GB,10 ,2015-03-30
Carmageddon: Max Damage,2,4,65,110,1536,2560,1051,1376,4 GB,4 ,6 GB,6 ,Windows 7 32-bit,Windows 8 64-bit,9 GB,9 ,9 GB,9 ,2016-07-08
Heroes over Europe,2,2,80,65,320,416,525,396,1 GB,1 ,4 GB,4 ,Windows XP 32-bit,Windows Vista 64-bit,9 GB,9 ,9 GB,9 ,2009-09-18
Ruse,1,1.5,67.5,98.5,192,448,304,400,1 GB,1 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2010-09-10
The Sims 4,2,3,65,86.5,192,1024,362.5,1187.5,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 ,9 GB,9 ,2014-09-05
The Sims 4: Get to Work,2,3,65,86.5,192,1024,362.5,1187.5,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 ,9 GB,9 ,2015-04-02
The Sims 5,2,3,65,86.5,192,1024,362.5,1187.5,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 ,9 GB,9 ,2021-01-01
Remember Me,2,4,65,112.5,288,1024,811,1250.5,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows Vista 64-bit,9 GB,9 ,9 GB,9 ,2013-06-07
Transformers: Devastation,2,3,65,90,512,2048,1013,1076,2 GB,2 ,4 GB,4 ,Windows Vista 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2015-10-06
Cabelas African Adventures,2,2,65,65,768,1024,700,1050,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2013-10-16
Cities XL Platinum,1,2,65,65,384,1024,815,1050,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2013-02-06
Devil May Cry: Vergils Downfall,2,4,65,100,288,960,811,1099.5,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2013-02-28
DMC: Devil May Cry,2,4,65,100,288,960,811,1099.5,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2013-01-25
Gothic 4: Fall of Setarrif,2,4,65,100,512,1024,900,1053.5,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2011-10-25
Kritika Online,2,3,65,90,384,512,400,850,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2017-09-28
Sniper Ghost Warrior 2: Siberian Strike,2,4,65,75,768,1024,1012.5,1250,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2013-03-26
Sniper: Ghost Warrior 2,2,4,65,75,768,1024,1012.5,1250,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2013-03-15
The Dark Eye: Demonicon,2,2.5,97.5,65,768,1024,650,900,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2013-10-25
The Vanishing of Ethan Carter,2,2,65,65,512,1024,775,1050,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2014-09-25
Crysis 2,2,2,65,55,256,768,840,1003.5,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 32-bit,9 GB,9 ,9 GB,9 ,2011-03-24
Crysis 2: Decimation Pack,2,2,65,55,256,768,840,1003.5,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 32-bit,9 GB,9 ,9 GB,9 ,2011-06-15
Rebirth Online,2,4,65,85,384,512,400,946.5,2 GB,2 ,4 GB,4 ,Windows 7 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-07-31
Marco & The Galaxy Dragon,2,4,65,85,256,320,600,815,2 GB,2 ,4 GB,4 ,Windows 8 32-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-02-28
Kritika: Reboot,2,4,65,85,384,512,400,946.5,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2019-11-11
Post War Dreams,2,4,65,95,1024,1024,950,1751,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 10 64-bit,9 GB,9 ,15 GB,15 ,2019-09-27
The Sims 4 Star Wars: Journey to Batuu,1.5,3,77,86.5,192,1024,437.5,1187.5,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-09-08
Lords Of Football,2,2,65,72.5,640,1024,600,850,3 GB,3 ,4 GB,4 ,Windows Vista 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2013-04-05
The Amazing Spider-Man,2,4,65,100,1024,512,971,900,3 GB,3 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2012-08-10
The Amazing Spider-Man 2,2,4,65,100,512,768,850,1117.5,3 GB,3 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2014-04-29
Dishonored,2,2.5,65,80,512,1536,595,945.5,3 GB,3 ,4 GB,4 ,Windows XP 64-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2012-10-12
Dishonored: the Brigmore Witches,2,4,65,100,512,1024,595,950,3 GB,3 ,4 GB,4 ,Windows XP 64-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2013-08-13
Dishonored: The Knife Of Dunwall,2,4,65,100,512,1024,595,950,3 GB,3 ,4 GB,4 ,Windows XP 64-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2013-04-16
Baldr Sky,2,4,65,85,256,384,600,865,4 GB,4 ,4 GB,4 ,Windows 7 32-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2019-12-20
WarriOrb,2,3,65,65,2560,2560,1438.5,1438.5,4 GB,4 ,4 GB,4 ,Windows 7 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-04-28
Ary and the Secret of Seasons,5,6,104.5,142.5,1024,6144,1626,1626,4 GB,4 ,4 GB,4 ,Windows 8 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-09-01
Medal of Honor,2,2,65,77,256,768,650,1113,2 GB,2 ,3 GB,3 ,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 ,9 GB,9 ,2010-10-15
Orcs Must Die 2,2,2,65,55,128,320,250,815,2 GB,2 ,3 GB,3 ,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 ,9 GB,9 ,2012-07-30
Batman: Arkham Asylum,1,2,73.5,97.5,256,256,262.5,820,1 GB,1 ,2 GB,2 ,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 ,9 GB,9 ,2009-09-18
Cities XL 2012,1,2,65,65,320,384,437.5,865,1 GB,1 ,2 GB,2 ,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 ,9 GB,9 ,2011-10-20
Fallout 3,1,2,64,65,256,448,250,400,1 GB,1 ,2 GB,2 ,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 ,9 GB,9 ,2008-10-31
World Zero Online,1,2,65.5,65,320,256,550,450,1 GB,1 ,2 GB,2 ,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 ,9 GB,9 ,2012-11-20
Tom Clancy Hawx 2,1,2,77,65,384,384,450,865,1 GB,1 ,2 GB,2 ,Windows XP 32-bit,Windows Vista 32-bit,9 GB,9 ,9 GB,9 ,2010-11-12
Bulletstorm,2,3.5,65,100,256,704,400,949.5,1.5 GB,1.5 ,2 GB,2 ,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 ,9 GB,9 ,2011-02-22
Transformers: War For Cybertron,2,2,65,77,256,416,830,959,2 GB,2 ,2 GB,2 ,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 ,9 GB,9 ,2010-06-25
Portal Stories: Mel,1,2,62.5,65,512,640,783.5,725,2 GB,2 ,2 GB,2 ,Windows XP 32-bit,Windows 8 64-bit,9 GB,9 ,9 GB,9 ,2015-06-25
Naxia,4,6,65,94.5,1024,5120,1001,1876,8 GB,8 ,16 GB,16 ,Windows 7 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2019-11-23
The VR Canyon,6,4,104.5,65,8192,8192,1251,875.5,8 GB,8 ,16 GB,16 ,Windows 7 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-01-07
Empathy: Path of Whispers,4,5,80,110,1536,2560,1137.5,1626,8 GB,8 ,12 GB,12 ,Windows 7 64-bit,Windows 7 64-bit,9 GB,9 ,9 GB,9 ,2017-05-16
The Elder Scrolls Online: Elsweyr,3,4,69,110,1024,1536,1001,1225,3 GB,3 ,8 GB,8 ,Windows 7 32-bit,Windows 7 64-bit,85 GB,85 ,85 GB,85 ,2019-06-04
The Elder Scrolls Online: Greymoor,3,4,69,110,1024,1536,1001,1225,3 GB,3 ,8 GB,8 ,Windows 7 32-bit,Windows 7 64-bit,85 GB,85 ,85 GB,85 ,2020-05-18
The Elder Scrolls Online: Morrowind,3,4,69,110,1024,1536,1001,1225,3 GB,3 ,8 GB,8 ,Windows 7 32-bit,Windows 7 64-bit,85 GB,85 ,85 GB,85 ,2017-06-06
The Elder Scrolls Online: Summerset,3,4,69,110,1024,1536,1001,1225,3 GB,3 ,8 GB,8 ,Windows 7 32-bit,Windows 7 64-bit,85 GB,85 ,85 GB,85 ,2018-06-05
The Elder Scrolls Online,3,4,69,110,1024,1536,1001,1225,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,85 GB,85 ,85 GB,85 ,2014-04-04
Hogwarts Legacy,6,6,65,65,8192,9728,1251,1563,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,85 GB,85 ,85 GB,85 ,2023-02-10
Rainbow Six Extraction,4,5,74.5,74.5,3072,7168,1751.5,2000.5,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,85 GB,85 ,85 GB,85 ,2022-01-20
Sniper Elite 5,4,6,65,65,4096,7168,1751.5,2001,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,85 GB,85 ,85 GB,85 ,2022-05-26
Final Fantasy XIV: Endwalker,4,6,103.5,110,1536,4096,1437.5,1751.5,4 GB,4 ,8 GB,8 ,Windows 8 64-bit,Windows 8 64-bit,80 GB,80 ,80 GB,80 ,2021-11-23
Call of Duty 2021,3,6,84,104.5,2048,7168,1487.5,2001,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,80 GB,80 ,80 GB,80 ,2021-01-01
Call of Duty WW2: Vangaurd,3,6,84,104.5,2048,7168,1487.5,2001,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,80 GB,80 ,80 GB,80 ,2021-11-05
MechWarrior 5: Mercenaries,3,6,73,95,3072,7168,1501,1876,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2019-12-10
NBA 2K20,3,6,84,104.5,1024,2048,912.5,1576,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2019-09-06
Crackdown 3,5,6,86,104.5,2048,4096,1300,1501.5,8 GB,8 ,8 GB,8 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2019-02-15
Death Stranding,4,5,71,71,3072,7168,1751,2001,8 GB,8 ,8 GB,8 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2020-07-14
Death Stranding: Director's Cut,4,5,71,71,3072,7168,1751,2001,8 GB,8 ,8 GB,8 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2021-01-01
Gears of War 4,5,6,86,104.5,2048,4096,1275,1751.5,8 GB,8 ,8 GB,8 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2016-10-11
Metro Exodus Enhanced Edition,4,8,35,127.5,6144,9216,1750,1750,8 GB,8 ,8 GB,8 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2021-05-06
The Dark Pictures Anthology: Little Hope,6,6,101,65,2048,7168,1125,2001,8 GB,8 ,8 GB,8 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2020-10-30
The Dark Pictures: Little Hope,6,6,101,65,2048,7168,1125,2001,8 GB,8 ,8 GB,8 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2020-08-29
Gears 5,4,4,71,92,2560,4096,1376,1751.5,8 GB,8 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2019-09-10
The Dark Pictures: Man of Medan,6,6,101,65,2048,7168,1351,2001,8 GB,8 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2019-08-29
F1 2020,3,6,80,95,1536,7168,1008,1750,16 GB,16 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2020-07-10
Star Citizen,4,8,110,117.5,4096,4096,1826,1751.5,16 GB,16 ,16 GB,16 ,Windows 8 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2024-01-01
Death Stranding 2,4,5,71,71,4096,3072,1876,1875.5,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2023-01-01
F1 2021,3,6,80,95,2560,7168,1451.5,1750,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2021-07-16
F1 22,3,6,80,95,4096,7168,1701,1750,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2022-07-01
Hitman 3,4,5,110,74.5,2048,8192,1351,1251,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2021-01-20
Marvel's Guardians of the Galaxy,4,5,74.5,74.5,7168,7168,1876,1875,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2021-10-26
Resident Evil 8,4,6,65,65,4096,8192,1751,1876,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2021-05-07
Stranger of Paradise: Final Fantasy Origin,4,6,65,65,5120,7168,1826,1750,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2022-03-18
Swords of Legends Online,4,5,74.5,78,2048,7168,1351,1876.5,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2021-01-01
Test Drive Unlimited Solar Crown,4,4,74.5,97.5,1536,3584,1237.5,1826,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2023-01-01
Uncharted Collection,5,4,95,74.5,3584,7168,1376,2001,8 GB,8 ,16 GB,16 ,Windows 10 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2022-01-01
F1 2019,3,6,80,95,1536,7168,1008,1750,8 GB,8 ,16 GB,16 ,Windows 7 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2019-06-28
Call of Duty: Modern Warfare 2 Remastered,4,5,74.5,95,2560,6144,1376,1626.5,8 GB,8 ,12 GB,12 ,Windows 7 64-bit,Windows 10 64-bit,80 GB,80 ,80 GB,80 ,2020-04-30
Porsche Hall of Legends VR,6,6,104.5,104.5,4096,8192,1501.5,875.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8.5 GB,8.5 ,8.5 GB,8.5 ,2020-02-24
I Am Alive,2,4,65,100,768,512,750,993,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,8.5 GB,8.5 ,8.5 GB,8.5 ,2012-09-06
NBA 2k12,1,2,69.5,65,512,416,395,396,1 GB,1 ,3 GB,3 ,Windows XP 32-bit,Windows XP 32-bit,8.5 GB,8.5 ,8.5 GB,8.5 ,2011-10-07
Dead Rising 2,2,2,65,72.5,320,768,815,1113,2 GB,2 ,3 GB,3 ,Windows XP 32-bit,Windows 7 32-bit,8.5 GB,8.5 ,8.5 GB,8.5 ,2010-09-28
Dawn of War 2 - Retribution,1,2,79.5,65,320,768,437.5,550,1 GB,1 ,2 GB,2 ,Windows XP 32-bit,Windows Vista 32-bit,8.5 GB,8.5 ,8.5 GB,8.5 ,2011-03-04
Payday: The Heist,1,2,84.5,65,256,768,700,825,1 GB,1 ,2 GB,2 ,Windows XP 32-bit,Windows 7 32-bit,8.5 GB,8.5 ,8.5 GB,8.5 ,2011-10-20
Deus Ex 3,2,3.5,65,100,384,1024,900,901,2 GB,2 ,2 GB,2 ,Windows XP 32-bit,Windows 7 32-bit,8.5 GB,8.5 ,8.5 GB,8.5 ,2011-08-26
Deus Ex: Human Revolution - Director's Cut,2,3.5,65,100,384,1024,900,901,2 GB,2 ,2 GB,2 ,Windows XP 32-bit,Windows 7 32-bit,8.5 GB,8.5 ,8.5 GB,8.5 ,2013-10-25
Legends of Dawn,2,4,65,100,384,704,865,996,1 GB,1 ,1 GB,1 ,Windows XP 32-bit,Windows XP 32-bit,8.5 GB,8.5 ,8.5 GB,8.5 ,2013-06-27
Transformers: Rise Of The Dark Spark,2.5,4,80,100,512,768,946.5,1051,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,8.4 GB,8.4 ,8.4 GB,8.4 ,2014-06-24
Transformers: The Fall of Cybertron,2.5,4,80,100,416,768,892.5,1051,2 GB,2 ,4 GB,4 ,Windows XP 32-bit,Windows 7 64-bit,8.4 GB,8.4 ,8.4 GB,8.4 ,2012-08-23
Blacklight: Retribution,2,4,65,100,320,704,800,949.5,2 GB,2 ,8 GB,8 ,Windows XP 32-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2012-04-03
Naruto Shippuden: Ultimate Ninja Storm Revolution,2,3,65,69,384,1024,850,1050,2 GB,2 ,8 GB,8 ,Windows XP 32-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2014-09-12
Naruto Ultimate Ninja Storm 3 Full Burst,2,4,65,80,384,1024,850,1050,2 GB,2 ,8 GB,8 ,Windows XP 32-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2013-10-25
Homeworld: Deserts of Kharak,3,4,82.5,112.5,1280,1536,937.5,1438.5,3 GB,3 ,8 GB,8 ,Windows 7 32-bit,Windows 7 64-bit,8 GB,8 ,12 GB,12 ,2016-01-20
EVERSPACE,2.5,6,60,95,1280,2560,1062,1626,4 GB,4 ,8 GB,8 ,Windows 7 32-bit,Windows 8 64-bit,8 GB,8 ,8 GB,8 ,2016-09-14
EVERSPACE 2,2.5,6,60,95,1280,2560,1062,1626,4 GB,4 ,8 GB,8 ,Windows 7 32-bit,Windows 8 64-bit,8 GB,8 ,8 GB,8 ,2021-01-18
Gal Gun Returns,6,6,104.5,104.5,2048,6144,1375,1626.5,4 GB,4 ,8 GB,8 ,Windows 8 64-bit,Windows 8 64-bit,8 GB,8 ,8 GB,8 ,2021-02-12
Rugby Challenge 3,2,3,65,75,1024,1536,950,1375,4 GB,4 ,8 GB,8 ,Windows 7 32-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2016-04-22
Devotion,3,3,65,74.5,2048,2048,1451,1576.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2019-02-19
Eastern Exorcist,3,6,84,104.5,1024,2048,1375,1326.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2021-07-08
Endless Space 2,2,3,50,80,1024,2048,1012.5,1451,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2017-05-19
Endless Space 2 - Dark Matter,2,3,50,80,1024,2048,1012.5,1451,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2021-05-06
Giant Machines 2017,2.5,3,60,59,1024,4096,1250.5,1526.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2016-09-29
Hatred,4,6,110,95,1024,3072,1001,1376,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2015-06-01
How To Survive 2,2.5,6,84,95,1024,2048,950,1451,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2015-10-29
Mages of Mystralia,6,4,110,74.5,1024,2560,1101,1376,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2017-05-18
The Culling,3,5,99,110,1024,2560,950,1376,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2017-10-05
TransOcean 2: Rivals,3,6,80,86,704,2560,996,1376,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2016-05-11
Unreal Tournament,2,2,65,77,768,1536,850,850,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2015-01-01
We Happy Few,2.5,4,80,95,1024,1152,1128.5,943.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2018-08-10
Livelock,2,6,65,110,1536,2048,1225,1351,4 GB,4 ,8 GB,8 ,Windows Vista 64-bit,Windows 7 64-bit,8 GB,8 ,0,#VALUE!,2016-08-30
Tree of savior,4,3,115,84,256,1024,650,1026,4 GB,4 ,8 GB,8 ,Windows XP 32-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2016-03-28
Hired Ops,2.5,6,80,110,768,2560,950,1438.5,4 GB,4 ,8 GB,8 ,Windows XP 64-bit,Windows 7 64-bit,8 GB,8 ,8 GB,8 ,2016-10-21
Conception II: Children of the Seven Stars,3,6,69,101,1024,2048,1187.5,1275,4 GB,4 ,8 GB,8 ,Windows 7 32-bit,Windows 7 32-bit,8 GB,8 ,8 GB,8 ,2016-08-16
Lumberjack's Dynasty,2,4,65,110,1536,6144,1101,1626.5,4 GB,4 ,8 GB,8 ,Windows 7 32-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2020-04-30
8Doors: Arums Afterlife Adventure,3,3,45,99,1024,1024,1250.5,1250.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2021-04-08
Aeioth RPG,4,6,110,152,1536,3584,1112.5,1376,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2020-01-07
Ancestors Legacy,4,6,110,101,1024,2048,1001,1438.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2018-05-22
Chronos: Before the Ashes,6,6,106.5,106.5,2048,4096,1451,1751.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2020-12-01
Earth Defense Force 4.1 The Shadow of New Despair,2,6,95,127.5,2048,2560,1351,1438.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2016-07-19
Everybodys Gone to the Rapture,4,6,65,94.5,1024,2560,1001,1563.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2016-04-14
Frontline Zed,2,4,65,110,2560,3584,1376,1876,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2019-09-26
Frostpunk: The Last Autumn,2,6,65,104.5,2048,4096,1451,1751.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2020-01-21
Frostpunk: The Rifts,2,6,65,104.5,2048,4096,1451,1751.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2019-08-27
Godking: Master of Rituals,5,6,95,110,1024,4096,1751,1751.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2020-04-08
Green Hell,3,6,84,104.5,1024,4096,1626,1751.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2019-09-05
Grounded,4,5,90,80,1536,5120,1275,1826,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2020-07-28
Hellion,2,6,45,95,2048,4096,1451,1501.5,4 GB,4 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,8 GB,8 ,8 GB,8 ,2017-02-24
