CPU,Codename,Min_Cores,Max_Cores,Clock,Min_Clock,Min_Clock(MHz),Max_Clock,Max_Clock(MHz),Size,Socket,Process,Process(NM),TDP(Watts),Release
Athlon XP 2000+,Thoroughbred,1,1,1667 MHz,1667,1667,1667,1667,MHz,Socket A,130 nm,130 ,60,"Jun 10th, 2002"
Athlon XP 2000+,Thoroughbred,1,1,1667 MHz,1667,1667,1667,1667,MHz,Socket A,130 nm,130 ,60,"Jun 10th, 2002"
Athlon XP 2000+,Thorton,1,1,1667 MHz,1667,1667,1667,1667,MHz,Socket A,130 nm,130 ,60,"Sep 1st, 2003"
Athlon XP 2000+,Thorton,1,1,1667 MHz,1667,1667,1667,1667,MHz,Socket A,130 nm,130 ,60,"Sep 1st, 2003"
Athlon XP 1900+,Thoroughbred,1,1,1600 MHz,1600,1600,1600,1600,MHz,Socket A,130 nm,130 ,53,"Jan 1st, 2001"
Athlon XP 1900+,Palomino,1,1,1600 MHz,1600,1600,1600,1600,MHz,Socket A,180 nm,180 ,68,"Nov 5th, 2001"
Athlon XP 1800+,Thoroughbred,1,1,1533 MHz,1533,1533,1533,1533,MHz,Socket A,130 nm,130 ,51,"Jan 1st, 2001"
Athlon XP 1800+,Palomino,1,1,1533 MHz,1533,1533,1533,1533,MHz,Socket A,180 nm,180 ,66,"Oct 9th, 2001"
Athlon XP 1800+,Thoroughbred,1,1,1533 MHz,1533,1533,1533,1533,MHz,Socket A,130 nm,130 ,51,"Jun 10th, 2002"
Athlon XP 1700+,Thoroughbred,1,1,1467 MHz,1467,1467,1467,1467,MHz,Socket A,130 nm,130 ,50,"Jan 1st, 2001"
Athlon XP 1700+,Thoroughbred,1,1,1467 MHz,1467,1467,1467,1467,MHz,Socket A,130 nm,130 ,50,"Jan 1st, 2001"
Athlon XP 1700+,Palomino,1,1,1467 MHz,1467,1467,1467,1467,MHz,Socket A,180 nm,180 ,64,"Oct 9th, 2001"
Athlon XP 1600+,Palomino,1,1,1400 MHz,1400,1400,1400,1400,MHz,Socket A,180 nm,180 ,63,"Oct 9th, 2001"
Athlon XP 1600+,Thoroughbred,1,1,1400 MHz,1400,1400,1400,1400,MHz,Socket A,130 nm,130 ,49,"Jan 1st, 2001"
Athlon XP 1500+,Palomino,1,1,1333 MHz,1333,1333,1333,1333,MHz,Socket A,180 nm,180 ,60,"Oct 9th, 2001"
Athlon X4 970,Bristol Ridge,4,4,3.8 to 4 GHz,3.8,3800,4,4000,GHz,Socket AM4,28 nm,28 ,65,"Jul 27th, 2017"
Athlon X4 950,Bristol Ridge,4,4,3.5 to 3.8 GHz,3.5,3500,3.8,3800,GHz,Socket AM4,28 nm,28 ,65,"Jul 27th, 2017"
Athlon X4 940,Bristol Ridge,4,4,3.2 to 3.6 GHz,3.2,3200,3.6,3600,GHz,Socket AM4,28 nm,28 ,65,"Jul 27th, 2017"
Athlon X4 845,Carrizo,4,4,3.5 to 3.8 GHz,3.5,3500,3.8,3800,GHz,Socket FM2+,28 nm,28 ,65,"Feb 2nd, 2016"
Athlon X4 760K,Richland,4,4,3.8 to 4.1 GHz,3.8,3800,4.1,4100,GHz,Socket FM2,32 nm,32 ,100,"Jun 1st, 2013"
Athlon X4 750K,Trinity,4,4,3.4 to 4 GHz,3.4,3400,4,4000,GHz,Socket FM2,32 nm,32 ,100,"Oct 2nd, 2012"
Athlon X4 750,Richland,4,4,3.4 to 4 GHz,3.4,3400,4,4000,GHz,Socket FM2,32 nm,32 ,65,Oct 2013
Athlon X4 740,Trinity,4,4,3.2 to 3.7 GHz,3.2,3200,3.7,3700,GHz,Socket FM2,32 nm,32 ,65,"Oct 2nd, 2012"
Athlon X4 730,Trinity,4,4,2.8 to 3.2 GHz,2.8,2800,3.2,3200,GHz,Socket FM2,32 nm,32 ,65,"Oct 2nd, 2012"
Athlon X2 QL-67,Griffin,2,2,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket S1,65 nm,65 ,35,"Dec 1st, 2008"
Athlon X2 QL-65,Griffin,2,2,2.1 GHz,2.1,2100,2.1,2100,GHz,Socket S1,65 nm,65 ,35,"Dec 1st, 2008"
Athlon X2 QL-64,Griffin,2,2,2.1 GHz,2.1,2100,2.1,2100,GHz,Socket S1,65 nm,65 ,35,"Dec 1st, 2008"
Athlon X2 QL-62,Griffin,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket S1,65 nm,65 ,25,"Sep 1st, 2008"
Athlon X2 QL-60,Griffin,2,2,1900 MHz,1900,1900,1900,1900,MHz,Socket S1,65 nm,65 ,35,"Jun 1st, 2008"
Athlon X2 7850 BE,Kuma,2,2,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM2+,65 nm,65 ,95,"Apr 28th, 2009"
Athlon X2 7750 BE,Kuma,2,2,2.7 GHz,2.7,2700,2.7,2700,GHz,Socket AM2+,65 nm,65 ,95,"Dec 15th, 2008"
Athlon X2 7550,Kuma,2,2,2.5 GHz,2.5,2500,2.5,2500,GHz,Socket AM2+,65 nm,65 ,95,"Dec 15th, 2008"
Athlon X2 7450,Kuma,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2+,65 nm,65 ,95,"Dec 15th, 2008"
Athlon X2 6500 BE,Kuma,2,2,2.3 GHz,2.3,2300,2.3,2300,GHz,Socket AM2+,65 nm,65 ,95,"Sep 8th, 2008"
Athlon X2 5050e,Brisbane,2,2,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM2,65 nm,65 ,45,"Oct 21st, 2008"
Athlon X2 4850e,Brisbane,2,2,2.5 GHz,2.5,2500,2.5,2500,GHz,Socket AM2,65 nm,65 ,45,"Mar 5th, 2008"
Athlon X2 4450e,Brisbane,2,2,2.3 GHz,2.3,2300,2.3,2300,GHz,Socket AM2,65 nm,65 ,45,"Apr 21st, 2008"
Athlon X2 4050e,Brisbane,2,2,2.1 GHz,2.1,2100,2.1,2100,GHz,Socket AM2,65 nm,65 ,45,"Apr 21st, 2008"
Athlon X2 340,Trinity,2,2,3.2 to 3.6 GHz,3.2,3200,3.6,3600,GHz,Socket FM2,32 nm,32 ,65,"Oct 2nd, 2012"
Athlon II X4 651K,Llano,4,4,3 GHz,3,3000,3,3000,GHz,Socket FM1,32 nm,32 ,100,"Nov 14th, 2011"
Athlon II X4 651,Llano,4,4,3 GHz,3,3000,3,3000,GHz,Socket FM1,32 nm,32 ,100,"Nov 14th, 2011"
Athlon II X4 645,Propus,4,4,3.1 GHz,3.1,3100,3.1,3100,GHz,Socket AM3,45 nm,45 ,95,"Sep 21st, 2010"
Athlon II X4 641,Llano,4,4,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket FM1,32 nm,32 ,100,"Feb 6th, 2012"
Athlon II X4 640,Propus,4,4,3 GHz,3,3000,3,3000,GHz,Socket AM3,45 nm,45 ,95,"May 11th, 2010"
