CPU,Codename,Min_Cores,Max_Cores,Clock,Min_Clock,Min_Clock(MHz),Max_Clock,Max_Clock(MHz),Size,Socket,Process,Process(NM),TDP(Watts),Release
Z-60,Hondo,2,2,1000 MHz,1000,1000,1000,1000,MHz,Socket FT1,40 nm,40 ,5,"Oct 9th, 2012"
Z-01,Desna,2,2,1000 MHz,1000,1000,1000,1000,MHz,Socket FT1,40 nm,40 ,6,"Jun 1st, 2011"
Xeon X5698,Westmere-EP,2,4,4.4 GHz,4.4,4400,4.4,4400,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2011"
Xeon X5690,Westmere-EP,6,12,3.466 to 3.733 GHz,3.466,3466,3.733,3733,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2011"
Xeon X5687,Westmere-EP,4,8,3.6 to 3.866 GHz,3.6,3600,3.866,3866,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2011"
Xeon X5680,Westmere-EP,6,12,3.333 to 3.6 GHz,3.333,3333,3.6,3600,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2010"
Xeon X5677,Westmere-EP,4,8,3.466 to 3.733 GHz,3.466,3466,3.733,3733,GHz,Socket 1366,32 nm,32 ,130,"Mar 16th, 2010"
Xeon X5675,Westmere-EP,6,12,3.066 to 3.466 GHz,3.066,3066,3.466,3466,GHz,Socket 1366,32 nm,32 ,95,"Feb 14th, 2011"
Xeon X5672,Westmere-EP,4,8,3.2 to 3.6 GHz,3.2,3200,3.6,3600,GHz,Socket 1366,32 nm,32 ,95,"Feb 14th, 2011"
Xeon X5670,Westmere-EP,6,12,2.933 to 3.333 GHz,2.933,2933,3.333,3333,GHz,Socket 1366,32 nm,32 ,95,"Mar 16th, 2010"
Xeon X5667,Westmere-EP,4,8,3.066 to 3.466 GHz,3.066,3066,3.466,3466,GHz,Socket 1366,32 nm,32 ,95,"Mar 16th, 2010"
Xeon X5660,Westmere-EP,6,12,2.8 to 3.2 GHz,2.8,2800,3.2,3200,GHz,Socket 1366,32 nm,32 ,95,"Mar 16th, 2010"
Xeon X5650,Westmere-EP,6,12,2.666 to 3.066 GHz,2.666,2666,3.066,3066,GHz,Socket 1366,32 nm,32 ,95,"Mar 16th, 2010"
Xeon X5647,Westmere-EP,4,8,2.933 to 3.2 GHz,2.933,2933,3.2,3200,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2011"
Xeon W3690,Gulftown,6,12,3.466 to 3.733 GHz,3.466,3466,3.733,3733,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2011"
Xeon W3680,Gulftown,6,12,3.333 to 3.6 GHz,3.333,3333,3.6,3600,GHz,Socket 1366,32 nm,32 ,130,"Mar 16th, 2010"
Xeon W3670,Gulftown,6,12,3.2 to 3.466 GHz,3.2,3200,3.466,3466,GHz,Socket 1366,32 nm,32 ,130,"Aug 29th, 2010"
Xeon W3530,Bloomfield,4,8,2.8 to 3.066 GHz,2.8,2800,3.066,3066,GHz,Socket 1366,45 nm,45 ,130,"Mar 16th, 2010"
Xeon W3505,Bloomfield,2,2,2.533 GHz,2.533,2533,2.533,2533,GHz,Socket 1366,45 nm,45 ,130,"Mar 30th, 2009"
Xeon W3503,Bloomfield,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket 1366,45 nm,45 ,130,"Mar 30th, 2009"
Xeon W-3375,Ice Lake-W,38,76,2.5 to 4 GHz,2.5,2500,4,4000,GHz,Socket 4189,10 nm,10 ,270,"Jul 29th, 2021"
Xeon W-3365,Ice Lake-W,32,64,2.7 to 4 GHz,2.7,2700,4,4000,GHz,Socket 4189,10 nm,10 ,270,"Jul 29th, 2021"
Xeon W-3345,Ice Lake-W,24,48,3 to 4 GHz,3,3000,4,4000,GHz,Socket 4189,10 nm,10 ,250,"Jul 29th, 2021"
Xeon W-3335,Ice Lake-W,16,32,3.4 to 4 GHz,3.4,3400,4,4000,GHz,Socket 4189,10 nm,10 ,250,"Jul 29th, 2021"
Xeon W-3323,Ice Lake-W,12,24,3.5 to 4 GHz,3.5,3500,4,4000,GHz,Socket 4189,10 nm,10 ,220,"Jul 29th, 2021"
Xeon W-3175X,Skylake-W,28,56,3.1 to 4.3 GHz,3.1,3100,4.3,4300,GHz,Socket 3647,14 nm,14 ,255,"Dec 19th, 2018"
Xeon W-2195,Skylake-W,18,36,2.3 to 4.3 GHz,2.3,2300,4.3,4300,GHz,Socket 2066,14 nm,14 ,140,"Aug 29th, 2017"
Xeon W-2191B,Skylake-W,18,36,2.3 to 4.3 GHz,2.3,2300,4.3,4300,GHz,Socket 2066,14 nm,14 ,140,"Dec 21st, 2017"
Xeon W-2175,Skylake-W,14,28,2.5 to 4.3 GHz,2.5,2500,4.3,4300,GHz,Socket 2066,14 nm,14 ,140,"Oct 15th, 2017"
Xeon W-2170B,Skylake-W,14,28,2.5 to 4.3 GHz,2.5,2500,4.3,4300,GHz,Socket 2066,14 nm,14 ,140,"Dec 21st, 2017"
Xeon W-2155,Skylake-W,10,20,3.3 to 4.5 GHz,3.3,3300,4.5,4500,GHz,Socket 2066,14 nm,14 ,140,"Aug 29th, 2017"
Xeon W-2150B,Skylake-W,10,20,3 to 4.5 GHz,3,3000,4.5,4500,GHz,Socket 2066,14 nm,14 ,120,"Dec 21st, 2017"
Xeon W-2135,Skylake-W,6,12,3.7 to 4.5 GHz,3.7,3700,4.5,4500,GHz,Socket 2066,14 nm,14 ,140,"Aug 29th, 2017"
Xeon W-2133,Skylake-W,6,12,3.6 to 3.9 GHz,3.6,3600,3.9,3900,GHz,Socket 2066,14 nm,14 ,140,"Aug 29th, 2017"
Xeon W-2125,Skylake-W,4,8,4 to 4.5 GHz,4,4000,4.5,4500,GHz,Socket 2066,14 nm,14 ,120,"Aug 29th, 2017"
Xeon W-2123,Skylake-W,4,8,3.6 to 3.9 GHz,3.6,3600,3.9,3900,GHz,Socket 2066,14 nm,14 ,120,"Aug 29th, 2017"
Xeon W-2104,Skylake-W,4,4,3.2 GHz,3.2,3200,3.2,3200,GHz,Socket 2066,14 nm,14 ,120,"Aug 29th, 2017"
Xeon W-2102,Skylake-W,4,4,2.9 GHz,2.9,2900,2.9,2900,GHz,Socket 2066,14 nm,14 ,120,"Aug 29th, 2017"
Xeon W-1290P,Comet Lake,10,20,3.7 to 5.3 GHz,3.7,3700,5.3,5300,GHz,Socket 1200,10 nm,10 ,125,"May 13th, 2020"
Xeon W-1290,Comet Lake,10,20,3.2 to 5.2 GHz,3.2,3200,5.2,5200,GHz,Socket 1200,14 nm,14 ,80,"May 13th, 2020"
Xeon W-11955M,Tiger Lake-H,8,16,2.1 to 5 GHz,2.1,2100,5,5000,GHz,BGA 1499,10 nm,10 ,35,"May 11th, 2021"
Xeon W-11855M,Tiger Lake-H,6,12,3.2 to 4.9 GHz,3.2,3200,4.9,4900,GHz,BGA 1787,10 nm,10 ,35,"May 11th, 2021"
Xeon Silver 4316,Ice Lake-SP,20,40,2.3 to 3.4 GHz,2.3,2300,3.4,3400,GHz,Socket 4189,10 nm,10 ,150,"Apr 6th, 2021"
Xeon Silver 4314,Ice Lake-SP,16,32,2.4 to 3.4 GHz,2.4,2400,3.4,3400,GHz,Socket 4189,10 nm,10 ,135,"Apr 6th, 2021"
Xeon Silver 4310T,Ice Lake-SP,10,20,2.3 to 3.4 GHz,2.3,2300,3.4,3400,GHz,Socket 4189,10 nm,10 ,105,"Apr 6th, 2021"
Xeon Silver 4310,Ice Lake-SP,12,24,2.1 to 3.3 GHz,2.1,2100,3.3,3300,GHz,Socket 4189,10 nm,10 ,120,"Apr 6th, 2021"
Xeon Silver 4309Y,Ice Lake-SP,8,16,2.8 to 3.6 GHz,2.8,2800,3.6,3600,GHz,Socket 4189,10 nm,10 ,105,"Apr 6th, 2021"
Xeon Silver 4116,Skylake-SP,12,24,2.1 to 3 GHz,2.1,2100,3,3000,GHz,Socket 3647,14 nm,14 ,85,"Jul 11th, 2017"
Xeon Platinum 9282,Cascade Lake-AP,56,112,2.6 to 3.8 GHz,2.6,2600,3.8,3800,GHz,BGA 5903,14 nm,14 ,400,"Apr 2nd, 2019"
Xeon Platinum 9242,Cascade Lake-AP,48,96,2.3 to 3.8 GHz,2.3,2300,3.8,3800,GHz,BGA 5903,14 nm,14 ,350,"Apr 2nd, 2019"
Xeon Platinum 9222,Cascade Lake-AP,32,64,2.3 to 3.7 GHz,2.3,2300,3.7,3700,GHz,BGA 5903,14 nm,14 ,250,"Apr 2nd, 2019"
Xeon Platinum 9221,Cascade Lake-AP,32,64,2.1 to 3.7 GHz,2.1,2100,3.7,3700,GHz,BGA 5903,14 nm,14 ,250,"Apr 2nd, 2019"
Xeon Platinum 8490H,Sapphire Rapids,60,120,1.9 to 3.5 GHz,1.9,1900,3.5,3500,GHz,Socket 4677,10 nm,10 ,350,2023
Xeon Platinum 8480,Sapphire Rapids,56,112,2 to 3.8 GHz,2,2000,3.8,3800,GHz,Socket 4677,10 nm,10 ,350,2023
Xeon Platinum 8380HL,Cooper Lake-SP,28,56,2.9 to 4.3 GHz,2.9,2900,4.3,4300,GHz,Socket 4189,14 nm,14 ,250,"Apr 6th, 2021"
Xeon Platinum 8380H,Cooper Lake-SP,28,56,2.9 to 4.3 GHz,2.9,2900,4.3,4300,GHz,Socket 4189,14 nm,14 ,250,"Apr 6th, 2021"
Xeon Platinum 8380,Ice Lake-SP,40,80,2.3 to 3.4 GHz,2.3,2300,3.4,3400,GHz,Socket 4189,10 nm,10 ,270,"Apr 6th, 2021"
Xeon Platinum 8376HL,Cooper Lake-SP,28,56,2.6 to 4.3 GHz,2.6,2600,4.3,4300,GHz,Socket 4189,14 nm,14 ,205,"Apr 6th, 2021"
Xeon Platinum 8376H,Cooper Lake-SP,28,56,2.6 to 4.3 GHz,2.6,2600,4.3,4300,GHz,Socket 4189,14 nm,14 ,205,"Apr 6th, 2021"
Xeon Platinum 8368Q,Ice Lake-SP,38,76,2.6 to 3.7 GHz,2.6,2600,3.7,3700,GHz,Socket 4189,10 nm,10 ,270,"Apr 6th, 2021"
Xeon Platinum 8368,Ice Lake-SP,38,76,2.4 to 3.4 GHz,2.4,2400,3.4,3400,GHz,Socket 4189,10 nm,10 ,270,"Apr 6th, 2021"
Xeon Platinum 8362,Ice Lake-SP,32,64,2.8 to 3.6 GHz,2.8,2800,3.6,3600,GHz,Socket 4189,10 nm,10 ,265,"Apr 6th, 2021"
Xeon Platinum 8360Y,Ice Lake-SP,36,72,2.4 to 3.5 GHz,2.4,2400,3.5,3500,GHz,Socket 4189,10 nm,10 ,250,"Apr 6th, 2021"
Xeon Platinum 8360HL,Cooper Lake-SP,24,48,3 to 4.2 GHz,3,3000,4.2,4200,GHz,Socket 4189,14 nm,14 ,225,"Apr 6th, 2021"
Xeon Platinum 8360H,Cooper Lake-SP,24,48,3 to 4.2 GHz,3,3000,4.2,4200,GHz,Socket 4189,14 nm,14 ,225,"Apr 6th, 2021"
Xeon Platinum 8358P,Ice Lake-SP,32,64,2.6 to 3.4 GHz,2.6,2600,3.4,3400,GHz,Socket 4189,10 nm,10 ,240,"Apr 6th, 2021"
Xeon Platinum 8358,Ice Lake-SP,32,64,2.6 to 3.4 GHz,2.6,2600,3.4,3400,GHz,Socket 4189,10 nm,10 ,250,"Apr 6th, 2021"
Xeon Platinum 8356H,Cooper Lake-SP,8,16,3.9 to 4.4 GHz,3.9,3900,4.4,4400,GHz,Socket 4189,14 nm,14 ,190,"Apr 6th, 2021"
Xeon Platinum 8354H,Cooper Lake-SP,18,36,3.1 to 4.3 GHz,3.1,3100,4.3,4300,GHz,Socket 4189,14 nm,14 ,205,"Apr 6th, 2021"
Xeon Platinum 8353H,Cooper Lake-SP,18,36,2.5 to 3.8 GHz,2.5,2500,3.8,3800,GHz,Socket 4189,14 nm,14 ,150,"Apr 6th, 2021"
Xeon Platinum 8352V,Ice Lake-SP,36,72,2.5 to 3.5 GHz,2.5,2500,3.5,3500,GHz,Socket 4189,10 nm,10 ,195,"Apr 6th, 2021"
Xeon Platinum 8352S,Ice Lake-SP,32,64,2.2 to 3.4 GHz,2.2,2200,3.4,3400,GHz,Socket 4189,10 nm,10 ,205,"Apr 6th, 2021"
Xeon Platinum 8352M,Ice Lake-SP,32,64,2.3 to 3.5 GHz,2.3,2300,3.5,3500,GHz,Socket 4189,10 nm,10 ,185,"Apr 6th, 2021"
Xeon Platinum 8351N,Ice Lake-SP,36,72,2.4 to 3.5 GHz,2.4,2400,3.5,3500,GHz,Socket 4189,10 nm,10 ,225,"Apr 6th, 2021"
Xeon Platinum 8280M,Cascade Lake-SP,28,56,2.7 to 4 GHz,2.7,2700,4,4000,GHz,Socket 3647,14 nm,14 ,205,"Dec 11th, 2018"
Xeon Platinum 8280,Cascade Lake-SP,28,56,2.7 to 4 GHz,2.7,2700,4,4000,GHz,Socket 3647,14 nm,14 ,205,"Dec 11th, 2018"
Xeon Platinum 8276,Cascade Lake-SP,28,56,2.2 to 4 GHz,2.2,2200,4,4000,GHz,Socket 3647,14 nm,14 ,165,"Dec 11th, 2018"
Xeon Platinum 8270,Cascade Lake-SP,26,52,2.7 to 4 GHz,2.7,2700,4,4000,GHz,Socket 3647,14 nm,14 ,205,"Dec 11th, 2018"
Xeon Platinum 8268,Cascade Lake-SP,24,48,2.9 to 3.9 GHz,2.9,2900,3.9,3900,GHz,Socket 3647,14 nm,14 ,205,"Dec 11th, 2018"
Xeon Platinum 8260M,Cascade Lake-SP,24,48,2.4 to 3.9 GHz,2.4,2400,3.9,3900,GHz,Socket 3647,14 nm,14 ,165,"Dec 11th, 2018"
Xeon Platinum 8260,Cascade Lake-SP,24,48,2.4 to 3.9 GHz,2.4,2400,3.9,3900,GHz,Socket 3647,14 nm,14 ,165,"Dec 11th, 2018"
Xeon Platinum 8253,Cascade Lake-SP,16,32,2.2 to 3 GHz,2.2,2200,3,3000,GHz,Socket 3647,14 nm,14 ,125,"Dec 11th, 2018"
Xeon Platinum 8180M,Skylake-SP,28,56,2.5 to 3.8 GHz,2.5,2500,3.8,3800,GHz,Socket 3647,14 nm,14 ,205,"Jul 11th, 2017"
Xeon Platinum 8180,Skylake-SP,28,56,2.5 to 3.8 GHz,2.5,2500,3.8,3800,GHz,Socket 3647,14 nm,14 ,205,"Jul 11th, 2017"
Xeon Phi SE10X,Knights Corner,61,244,1100 MHz,1100,1100,1100,1100,MHz,PCIe x16,22 nm,22 ,300,"Nov 12th, 2012"
Xeon Phi SE10P,Knights Corner,61,244,1100 MHz,1100,1100,1100,1100,MHz,PCIe x16,22 nm,22 ,300,"Nov 12th, 2012"
Xeon Phi 7295,Knights Mill,72,288,1500 to 1600 MHz,1500,1500,1600,1500,MHz,Socket 3647,14 nm,14 ,320,"Dec 1st, 2017"
Xeon Phi 7290F,Knights Landing,72,288,1500 to 1700 MHz,1500,1500,1700,1500,MHz,Socket 3647,14 nm,14 ,260,"Jun 20th, 2016"
Xeon Phi 7290,Knights Landing,72,288,1500 to 1700 MHz,1500,1500,1700,1500,MHz,Socket 3647,14 nm,14 ,245,"Jun 20th, 2016"
Xeon Phi 7285,Knights Mill,68,272,1300 to 1400 MHz,1300,1300,1400,1300,MHz,Socket 3647,14 nm,14 ,250,"Dec 1st, 2017"
Xeon Phi 7250F,Knights Landing,68,272,1400 to 1600 MHz,1400,1400,1600,1400,MHz,Socket 3647,14 nm,14 ,230,"Jun 20th, 2016"
Xeon Phi 7250,Knights Landing,68,272,1400 to 1600 MHz,1400,1400,1600,1400,MHz,Socket 3647,14 nm,14 ,215,"Jun 20th, 2016"
Xeon Phi 7235,Knights Mill,64,256,1300 to 1400 MHz,1300,1300,1400,1300,MHz,Socket 3647,14 nm,14 ,250,"Dec 1st, 2017"
Xeon Phi 7230F,Knights Landing,64,256,1300 to 1500 MHz,1300,1300,1500,1300,MHz,Socket 3647,14 nm,14 ,230,"Jun 20th, 2016"
Xeon Phi 7230,Knights Landing,64,256,1300 to 1500 MHz,1300,1300,1500,1300,MHz,Socket 3647,14 nm,14 ,215,"Jun 20th, 2016"
Xeon Phi 7210F,Knights Landing,64,256,1300 to 1500 MHz,1300,1300,1500,1300,MHz,Socket 3647,14 nm,14 ,230,"Jun 20th, 2016"
Xeon Phi 7210,Knights Landing,64,256,1300 to 1500 MHz,1300,1300,1500,1300,MHz,Socket 3647,14 nm,14 ,215,"Jun 20th, 2016"
Xeon Phi 7120X,Knights Corner,61,244,1238 to 1333 MHz,1238,1238,1333,1238,MHz,PCIe x16,22 nm,22 ,300,"Jun 17th, 2013"
Xeon Phi 7120P,Knights Corner,61,244,1238 to 1333 MHz,1238,1238,1333,1238,MHz,PCIe x16,22 nm,22 ,300,"Jun 17th, 2013"
Xeon Phi 7120D,Knights Corner,61,244,1238 to 1333 MHz,1238,1238,1333,1238,MHz,SFF 230-Pin,22 nm,22 ,270,"Mar 1st, 2014"
Xeon Phi 7120A,Knights Corner,61,244,1238 to 1333 MHz,1238,1238,1333,1238,MHz,PCIe x16,22 nm,22 ,300,"Apr 6th, 2014"
Xeon Phi 7110X,Knights Corner,61,244,1250 MHz,1250,1250,1250,1250,MHz,PCIe x16,22 nm,22 ,300,"Nov 12th, 2012"
Xeon Phi 7110P,Knights Corner,61,244,1250 MHz,1250,1250,1250,1250,MHz,PCIe x16,22 nm,22 ,300,"Nov 12th, 2012"
Xeon Phi 5120D,Knights Corner,60,240,1053 MHz,1053,1053,1053,1053,MHz,SFF 230-Pin,22 nm,22 ,245,"Jun 17th, 2013"
Xeon Phi 5110P,Knights Corner,60,240,1053 MHz,1053,1053,1053,1053,MHz,PCIe x16,22 nm,22 ,225,"Nov 12th, 2012"
Xeon Phi 31S1P,Knights Corner,57,228,1100 MHz,1100,1100,1100,1100,MHz,PCIe x16,22 nm,22 ,270,"Jun 17th, 2013"
Xeon Phi 3120P,Knights Corner,57,228,1100 MHz,1100,1100,1100,1100,MHz,PCIe x16,22 nm,22 ,300,"Jun 17th, 2013"
Xeon Phi 3120A,Knights Corner,57,228,1100 MHz,1100,1100,1100,1100,MHz,PCIe x16,22 nm,22 ,300,"Jun 17th, 2013"
Xeon Phi 3110X,Knights Corner,61,244,1053 MHz,1053,1053,1053,1053,MHz,PCIe x16,22 nm,22 ,300,"Nov 12th, 2012"
Xeon MP 7041 Dual-Core,Paxville,2,2,3 GHz,3,3000,3,3000,GHz,Socket 604,90 nm,90 ,135,"Dec 1st, 2005"
Xeon MP 7040 Dual-Core,Paxville,2,2,3 GHz,3,3000,3,3000,GHz,Socket 604,90 nm,90 ,135,"Dec 1st, 2005"
Xeon MP 7030 Dual-Core,Paxville,2,2,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket 604,90 nm,90 ,135,"Dec 1st, 2005"
Xeon MP 7030 Dual-Core,Paxville,2,2,2.833 GHz,2.833,2833,2.833,2833,GHz,Socket 604,90 nm,90 ,135,"Dec 1st, 2005"
Xeon MP 7020 Dual-Core,Paxville,2,2,2.667 GHz,2.667,2667,2.667,2667,GHz,Socket 604,90 nm,90 ,135,"Dec 1st, 2005"
Xeon MP 3.66,Cranford,1,1,3.667 GHz,3.667,3667,3.667,3667,GHz,Socket 604,90 nm,90 ,135,"Mar 29th, 2005"
Xeon MP 3.50,Cranford,1,1,3.5 GHz,3.5,3500,3.5,3500,GHz,Socket 604,90 nm,90 ,135,"Mar 29th, 2005"
Xeon MP 3.33,Potomac,1,1,3.333 GHz,3.333,3333,3.333,3333,GHz,Socket 604,90 nm,90 ,135,"Mar 29th, 2005"
Xeon MP 3.33,Potomac,1,1,3.333 GHz,3.333,3333,3.333,3333,GHz,Socket 604,90 nm,90 ,135,"Mar 29th, 2005"
Xeon MP 3.33,Cranford,1,1,3.334 GHz,3.334,3334,3.334,3334,GHz,Socket 604,90 nm,90 ,135,"Mar 29th, 2005"
Xeon MP 3.16,Cranford,1,1,3.167 GHz,3.167,3167,3.167,3167,GHz,Socket 604,90 nm,90 ,135,"Mar 29th, 2005"
Xeon MP 3.16,Potomac,1,1,3.167 GHz,3.167,3167,3.167,3167,GHz,Socket 604,90 nm,90 ,135,"Mar 29th, 2005"
Xeon MP 3.16,Potomac,1,1,3.167 GHz,3.167,3167,3.167,3167,GHz,Socket 604,90 nm,90 ,135,"Mar 29th, 2005"
Xeon MP 3.00,Potomac,1,1,3 GHz,3,3000,3,3000,GHz,Socket 604,90 nm,90 ,135,"Mar 29th, 2005"
Xeon MP 3.00,Potomac,1,1,3 GHz,3,3000,3,3000,GHz,Socket 604,90 nm,90 ,135,"Mar 29th, 2005"
Xeon MP 2.83,Potomac,1,1,2.833 GHz,2.833,2833,2.833,2833,GHz,Socket 604,90 nm,90 ,129,"Mar 29th, 2005"
Xeon MP 2.83,Potomac,1,1,2.833 GHz,2.833,2833,2.833,2833,GHz,Socket 604,90 nm,90 ,135,"Mar 29th, 2005"
Xeon L5640,Westmere-EP,6,12,2.266 to 2.8 GHz,2.266,2266,2.8,2800,GHz,Socket 1366,32 nm,32 ,60,"Mar 16th, 2010"
Xeon L5638,Westmere-EP,6,12,2 to 2.4 GHz,2,2000,2.4,2400,GHz,Socket 1366,32 nm,32 ,60,"Mar 16th, 2010"
Xeon L5630,Westmere-EP,4,8,2.133 to 2.4 GHz,2.133,2133,2.4,2400,GHz,Socket 1366,32 nm,32 ,40,"Mar 16th, 2010"
Xeon L5618,Westmere-EP,4,8,1.866 to 2.266 GHz,1.866,1866,2.266,2266,GHz,Socket 1366,32 nm,32 ,40,"Mar 16th, 2010"
Xeon L5609,Westmere-EP,4,4,1866 MHz,1866,1866,1866,1866,MHz,Socket 1366,32 nm,32 ,40,"Mar 16th, 2010"
Xeon L5508,Gainestown,2,4,2 to 2.4 GHz,2,2000,2.4,2400,GHz,Socket 1366,45 nm,45 ,38,"Mar 30th, 2009"
Xeon Gold 6354,Ice Lake-SP,18,36,3 to 3.6 GHz,3,3000,3.6,3600,GHz,Socket 4189,10 nm,10 ,205,"Apr 6th, 2021"
Xeon Gold 6348H,Cooper Lake-SP,24,48,2.3 to 4.2 GHz,2.3,2300,4.2,4200,GHz,Socket 4189,14 nm,14 ,165,"Apr 6th, 2021"
Xeon Gold 6348,Ice Lake-SP,28,56,2.6 to 3.5 GHz,2.6,2600,3.5,3500,GHz,Socket 4189,10 nm,10 ,235,"Apr 6th, 2021"
Xeon Gold 6346,Ice Lake-SP,16,32,3.1 to 3.6 GHz,3.1,3100,3.6,3600,GHz,Socket 4189,10 nm,10 ,205,"Apr 6th, 2021"
Xeon Gold 6342,Ice Lake-SP,24,48,2.8 to 3.5 GHz,2.8,2800,3.5,3500,GHz,Socket 4189,10 nm,10 ,230,"Apr 6th, 2021"
Xeon Gold 6338T,Ice Lake-SP,24,48,2.1 to 3.4 GHz,2.1,2100,3.4,3400,GHz,Socket 4189,10 nm,10 ,165,"Apr 6th, 2021"
Xeon Gold 6338N,Ice Lake-SP,32,64,2.2 to 3.5 GHz,2.2,2200,3.5,3500,GHz,Socket 4189,10 nm,10 ,185,"Apr 6th, 2021"
Xeon Gold 6336Y,Ice Lake-SP,24,48,2.4 to 3.6 GHz,2.4,2400,3.6,3600,GHz,Socket 4189,10 nm,10 ,185,"Apr 6th, 2021"
Xeon Gold 6334,Ice Lake-SP,8,16,3.6 to 3.7 GHz,3.6,3600,3.7,3700,GHz,Socket 4189,10 nm,10 ,165,"Apr 6th, 2021"
Xeon Gold 6330H,Cooper Lake-SP,24,48,2 to 3.7 GHz,2,2000,3.7,3700,GHz,Socket 4189,14 nm,14 ,150,"Apr 6th, 2021"
Xeon Gold 6330,Ice Lake-SP,28,56,2 to 3.1 GHz,2,2000,3.1,3100,GHz,Socket 4189,10 nm,10 ,205,"Apr 6th, 2021"
Xeon Gold 6328HL,Cooper Lake-SP,16,32,2.8 to 4.3 GHz,2.8,2800,4.3,4300,GHz,Socket 4189,14 nm,14 ,165,"Apr 6th, 2021"
Xeon Gold 6328H,Cooper Lake-SP,16,32,2.8 to 4.3 GHz,2.8,2800,4.3,4300,GHz,Socket 4189,14 nm,14 ,165,"Apr 6th, 2021"
Xeon Gold 6326,Ice Lake-SP,16,32,2.9 to 3.5 GHz,2.9,2900,3.5,3500,GHz,Socket 4189,10 nm,10 ,185,"Apr 6th, 2021"
Xeon Gold 6314U,Ice Lake-SP,32,64,2.3 to 3.4 GHz,2.3,2300,3.4,3400,GHz,Socket 4189,10 nm,10 ,205,"Apr 6th, 2021"
Xeon Gold 6312U,Ice Lake-SP,24,48,2.4 to 3.6 GHz,2.4,2400,3.6,3600,GHz,Socket 4189,10 nm,10 ,185,"Apr 6th, 2021"
Xeon Gold 6154,Skylake-SP,18,36,3 to 3.7 GHz,3,3000,3.7,3700,GHz,Socket 3647,14 nm,14 ,200,"Jul 11th, 2017"
Xeon Gold 5320T,Ice Lake-SP,20,40,2.3 to 3.5 GHz,2.3,2300,3.5,3500,GHz,Socket 4189,10 nm,10 ,150,"Apr 6th, 2021"
Xeon Gold 5320H,Cooper Lake-SP,20,40,2.4 to 4.2 GHz,2.4,2400,4.2,4200,GHz,Socket 4189,14 nm,14 ,150,"Apr 6th, 2021"
Xeon Gold 5320,Ice Lake-SP,26,52,2.2 to 3.4 GHz,2.2,2200,3.4,3400,GHz,Socket 4189,10 nm,10 ,185,"Apr 6th, 2021"
Xeon Gold 5318Y,Ice Lake-SP,24,48,2.1 to 3.4 GHz,2.1,2100,3.4,3400,GHz,Socket 4189,10 nm,10 ,165,"Apr 6th, 2021"
Xeon Gold 5318S,Ice Lake-SP,24,48,2.1 to 3.4 GHz,2.1,2100,3.4,3400,GHz,Socket 4189,10 nm,10 ,165,"Apr 6th, 2021"
Xeon Gold 5318N,Ice Lake-SP,24,48,2.1 to 3.4 GHz,2.1,2100,3.4,3400,GHz,Socket 4189,10 nm,10 ,150,"Apr 6th, 2021"
Xeon Gold 5318H,Cooper Lake-SP,18,36,2.5 to 3.8 GHz,2.5,2500,3.8,3800,GHz,Socket 4189,14 nm,14 ,150,"Apr 6th, 2021"
Xeon Gold 5317,Ice Lake-SP,12,24,3 to 3.6 GHz,3,3000,3.6,3600,GHz,Socket 4189,10 nm,10 ,150,"Apr 6th, 2021"
Xeon Gold 5315Y,Ice Lake-SP,8,16,3.2 to 3.6 GHz,3.2,3200,3.6,3600,GHz,Socket 4189,10 nm,10 ,140,"Apr 6th, 2021"
Xeon E7-8891 v3,Haswell-EX,10,20,2.8 to 3.5 GHz,2.8,2800,3.5,3500,GHz,Socket 2011-3,22 nm,22 ,165,"Jun 1st, 2015"
Xeon E7-8890 v3,Haswell-EX,18,36,2.5 to 3.3 GHz,2.5,2500,3.3,3300,GHz,Socket 2011-3,22 nm,22 ,165,"Jun 1st, 2015"
Xeon E7-8880L v3,Haswell-EX,18,36,2 to 2.8 GHz,2,2000,2.8,2800,GHz,Socket 2011-3,22 nm,22 ,115,"Jun 1st, 2015"
Xeon E7-8880 v3,Haswell-EX,18,36,2.3 to 3.1 GHz,2.3,2300,3.1,3100,GHz,Socket 2011-3,22 nm,22 ,150,"Jun 1st, 2015"
Xeon E7-8870 v3,Haswell-EX,18,36,2.1 to 2.9 GHz,2.1,2100,2.9,2900,GHz,Socket 2011-3,22 nm,22 ,140,"Jun 1st, 2015"
Xeon E7-8870,Westmere-EX,10,20,2.4 to 2.8 GHz,2.4,2400,2.8,2800,GHz,Socket 1567,32 nm,32 ,130,"Apr 3rd, 2011"
Xeon E7-8867 v3,Haswell-EX,16,32,2.5 to 3.3 GHz,2.5,2500,3.3,3300,GHz,Socket 2011-3,22 nm,22 ,165,"Jun 1st, 2015"
Xeon E7-8860 v3,Haswell-EX,16,32,2.2 to 3.2 GHz,2.2,2200,3.2,3200,GHz,Socket 2011-3,22 nm,22 ,140,"Jun 1st, 2015"
